dia,Q_min_diario,Q_max_diario,Q_prom_diario,Varianza_diaria
2025-08-30,109.08,285.3,188.75850000000003,60.72465459162962
2025-08-31,12.204,266.868,150.77925,93.53413279223692
2025-09-01,88.74,251.56799999999998,178.81375,51.19570037610579
2025-09-02,100.62,291.888,196.72525000000002,60.39198086805758
2025-09-03,104.36399999999999,271.26,195.47375,49.14070356767264
2025-09-04,98.13600000000001,255.312,192.13025000000002,45.33679253070327
2025-09-05,93.132,243.108,185.44825,45.896366321958844
2025-09-06,90.936,281.556,189.5505,53.84050446230275
2025-09-07,100.62,286.23600000000005,198.756,62.236935869350084
2025-09-08,91.872,257.50800000000004,191.27925,49.9754449667971
2025-09-09,92.48400000000001,248.76,188.30650000000003,46.088295142247155
2025-09-10,86.868,270.0,192.756,58.78121204050705
2025-09-11,102.492,259.38,193.883,46.964549590789574
2025-09-12,88.128,246.888,185.74675,46.22658617950484
2025-09-13,24.048,296.892,184.74575,81.10523472568889
2025-09-14,93.744,294.696,193.79625,63.03365172717613
2025-09-15,79.38000000000001,257.50800000000004,191.4558041958042,56.32600294578618
2025-09-16,68.436,263.44800000000004,188.86575000000002,52.29252857348164
2025-09-17,82.188,268.12800000000004,182.02450000000002,51.07335387569423
2025-09-18,76.572,250.63200000000003,169.899,48.79835651823858
2025-09-19,79.05600000000001,280.00800000000004,176.961,54.85683866592735
2025-09-20,78.444,284.076,205.693,61.04959437469411
2025-09-21,97.488,288.108,209.63825,60.372622261305615
2025-09-22,93.42,272.196,206.27949999999998,51.85125559383631
2025-09-23,61.88400000000001,270.93600000000004,201.28675,65.3251759056024
2025-09-24,87.192,257.184,199.5875,52.46877802556967
2025-09-25,84.06,255.63600000000002,190.07575,43.20130351107419
2025-09-26,82.188,287.17199999999997,188.8025,47.4516381740252
2025-09-27,89.676,313.452,213.67888111888112,67.63268840036166
2025-09-28,80.316,282.204,194.34675000000001,58.73149189098857
2025-09-29,81.86399999999999,239.076,181.42375,42.821638080963965
2025-09-30,33.768,252.18,180.08175,54.7062816806414
