datetime,Q_in
2025-01-03 13:40:00,221.076
2025-01-03 13:50:00,226.8
2025-01-03 14:00:00,224.1
2025-01-03 14:10:00,234.9
2025-01-03 14:20:00,223.77599999999998
2025-01-03 14:30:00,220.716
2025-01-03 14:40:00,224.784
2025-01-03 14:50:00,219.384
2025-01-03 15:00:00,217.36800000000002
2025-01-03 15:10:00,219.708
2025-01-03 15:20:00,222.40800000000002
2025-01-03 15:30:00,211.284
2025-01-03 15:40:00,216.0
2025-01-03 15:50:00,220.716
2025-01-03 16:00:00,209.91600000000003
2025-01-03 16:10:00,219.02400000000003
2025-01-03 16:20:00,210.6
2025-01-03 16:30:00,213.3
2025-01-03 16:40:00,206.208
2025-01-03 16:50:00,210.924
2025-01-03 17:00:00,212.292
2025-01-03 17:10:00,208.584
2025-01-03 17:20:00,207.216
2025-01-03 17:30:00,215.316
2025-01-03 17:40:00,213.3
2025-01-03 17:50:00,221.076
2025-01-03 18:00:00,214.30800000000002
2025-01-03 18:10:00,216.0
2025-01-03 18:20:00,217.36800000000002
2025-01-03 18:30:00,207.576
2025-01-03 18:40:00,210.27599999999998
2025-01-03 18:50:00,210.924
2025-01-03 19:00:00,200.12400000000002
2025-01-03 19:10:00,210.6
2025-01-03 19:20:00,211.284
2025-01-03 19:30:00,212.292
2025-01-03 19:40:00,213.3
2025-01-03 19:50:00,206.568
2025-01-03 20:00:00,213.984
2025-01-03 20:10:00,211.608
2025-01-03 20:20:00,208.584
2025-01-03 20:30:00,210.6
2025-01-03 20:40:00,219.384
2025-01-03 20:50:00,208.22400000000002
2025-01-03 21:00:00,209.592
2025-01-03 21:10:00,213.3
2025-01-03 21:20:00,213.62400000000002
2025-01-03 21:30:00,207.9
2025-01-03 21:40:00,213.984
2025-01-03 21:50:00,210.27599999999998
2025-01-03 22:00:00,212.292
2025-01-03 22:10:00,215.676
2025-01-03 22:20:00,207.9
2025-01-03 22:30:00,210.6
2025-01-03 22:40:00,213.3
2025-01-03 22:50:00,223.092
2025-01-03 23:00:00,217.008
2025-01-03 23:10:00,214.992
2025-01-03 23:20:00,203.184
2025-01-03 23:30:00,133.992
2025-01-03 23:40:00,141.768
2025-01-03 23:50:00,150.51600000000002
2025-01-04 00:00:00,165.384
2025-01-04 00:10:00,198.792
2025-01-04 00:20:00,193.716
2025-01-04 00:30:00,194.72400000000002
2025-01-04 00:40:00,199.8
2025-01-04 00:50:00,193.392
2025-01-04 01:00:00,195.084
2025-01-04 01:10:00,175.824
2025-01-04 01:20:00,180.576
2025-01-04 01:30:00,174.492
2025-01-04 01:40:00,169.41600000000003
2025-01-04 01:50:00,164.70000000000002
2025-01-04 02:00:00,157.608
2025-01-04 02:10:00,148.5
2025-01-04 02:20:00,150.51600000000002
2025-01-04 02:30:00,146.484
2025-01-04 02:40:00,133.632
2025-01-04 02:50:00,133.632
2025-01-04 03:00:00,141.084
2025-01-04 03:10:00,120.492
2025-01-04 03:20:00,120.81600000000002
2025-01-04 03:30:00,126.9
2025-01-04 03:40:00,138.708
2025-01-04 03:50:00,148.824
2025-01-04 04:00:00,126.576
2025-01-04 04:10:00,131.976
2025-01-04 04:20:00,128.592
2025-01-04 04:30:00,124.2
2025-01-04 04:40:00,120.492
2025-01-04 04:50:00,115.41600000000001
2025-01-04 05:00:00,117.792
2025-01-04 05:10:00,122.832
2025-01-04 05:20:00,125.56800000000001
2025-01-04 05:30:00,129.27599999999998
2025-01-04 05:40:00,122.184
2025-01-04 05:50:00,109.00800000000001
2025-01-04 06:00:00,118.8
2025-01-04 06:10:00,113.724
2025-01-04 06:20:00,105.98400000000001
2025-01-04 06:30:00,114.084
2025-01-04 06:40:00,116.10000000000001
2025-01-04 06:50:00,114.084
